,filename,emotion_id,video_id,sex,prosody,intensity_level
0,A91_rej_v_3.mp4,14,A91,f,naro,3
1,A438_mov_p_3.mp4,42,A438,m,naro,3
2,A227_det_p_3.mp4,2,A227,f,naro,3
3,A221_scha_v_2.mp4,15,A221,f,naro,2
4,A438_int_p_2.mp4,29,A438,m,naro,2
5,A227_conf_p_3.mp4,1,A227,f,naro,3
6,A221_gra_p_3.mp4,7,A221,f,naro,3
7,A220_scha_p_2.mp4,15,A220,m,naro,2
8,A438_neg_sur_p_3.mp4,11,A438,m,naro,3
9,A207_mov_v_3.mp4,42,A207,m,naro,3
10,A227_ang_v_2.mp4,12,A227,f,naro,2
11,A337_gra_v_2.mp4,7,A337,f,meli,2
12,A67_adm_p_3.mp4,5,A67,m,meli,3
13,A337_pri_v_2.mp4,41,A337,f,meli,2
14,A220_sar_p_3.mp4,31,A220,m,naro,3
15,A67_mov_v_2.mp4,42,A67,m,meli,2
16,A221_neu_sit1_v.mp4,22,A221,f,naro,0
17,A417_sat_p_2.mp4,16,A417,m,meli,2
18,A405_pri_p_2.mp4,41,A405,f,meli,2
19,A303_pos_sur_p_2.mp4,9,A303,m,meli,2
20,A72_gra_p_3.mp4,7,A72,m,naro,3
21,A67_bor_p_3.mp4,26,A67,m,meli,3
22,A323_env_p_3.mp4,4,A323,f,meli,3
23,A437_rej_v_3.mp4,14,A437,m,naro,3
24,A337_fea_v_3.mp4,10,A337,f,meli,3
25,A417_neu_sit2_v.mp4,22,A417,m,meli,0
26,A435_ele_p_3.mp4,8,A435,m,naro,3
27,A55_ins_p_2.mp4,19,A55,m,meli,2
28,A407_ele_v_3.mp4,8,A407,f,meli,3
29,A407_sex_p_3.mp4,24,A407,f,meli,3
30,A405_hap_p_2.mp4,33,A405,f,meli,2
31,A220_rej_p_2.mp4,14,A220,m,naro,2
32,A227_hop_v_3.mp4,21,A227,f,naro,3
33,A426_neg_sur_v_3.mp4,11,A426,f,naro,3
34,A207_hop_p_2.mp4,21,A207,m,naro,2
35,A337_reg_p_3.mp4,0,A337,f,meli,3
36,A221_conf_p_3.mp4,1,A221,f,naro,3
37,A417_fea_p_3.mp4,10,A417,m,meli,3
